,Angles
443,"[122.868, 120.544, 120.484, 98.615, 96.54, 91.043]"
446,"[115.461, 110.555, 109.445, 108.584, 106.816, 105.98]"
451,"[115.246, 110.732, 109.658, 108.126, 106.816, 106.272]"
452,"[115.493, 111.285, 109.208, 107.698, 106.9, 106.308]"
455,"[115.201, 111.063, 109.457, 107.933, 106.678, 106.553]"
456,"[122.114, 121.978, 120.591, 98.766, 96.246, 90.172]"
459,"[114.689, 112.024, 109.846, 107.014, 106.972, 106.362]"
486,"[148.364, 112.284, 107.746, 105.652, 90.292, 85.641]"
487,"[127.143, 121.346, 108.584, 107.698, 98.772, 85.268]"
488,"[142.693, 112.6, 110.518, 107.17, 92.768, 85.647]"
489,"[127.459, 121.958, 110.389, 107.873, 95.716, 85.641]"
500,"[126.292, 116.859, 113.678, 109.749, 93.664, 88.791]"
501,"[122.861, 115.227, 114.891, 113.985, 93.486, 87.794]"
506,"[113.522, 113.522, 107.488, 107.488, 107.488, 107.488]"
507,"[116.731, 116.724, 105.974, 105.968, 105.968, 105.962]"
511,"[180.0, 180.0, 90.0, 90.0, 90.0, 90.0]"
512,"[180.0, 180.0, 90.0, 90.0, 90.0, 90.0]"
513,"[118.067, 115.474, 112.594, 112.136, 101.367, 97.782]"
514,"[130.038, 114.255, 114.048, 98.476, 98.152, 95.618]"
516,"[129.844, 115.664, 114.255, 98.193, 97.591, 94.589]"
519,"[133.908, 124.097, 117.516, 98.054, 97.412, 87.937]"
520,"[151.933, 106.314, 103.203, 103.203, 90.814, 90.814]"
521,"[116.936, 114.28, 110.383, 108.881, 104.253, 102.034]"
522,"[126.97, 116.455, 114.111, 99.422, 97.88, 96.638]"
524,"[125.775, 117.368, 116.034, 98.807, 97.834, 95.267]"
526,"[132.547, 127.799, 117.82, 96.632, 95.682, 88.653]"
528,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
531,"[147.908, 102.492, 102.492, 99.712, 99.712, 91.731]"
533,"[109.475, 109.475, 109.475, 109.475, 109.469, 109.469]"
534,"[109.475, 109.475, 109.475, 109.475, 109.469, 109.469]"
536,"[109.475, 109.475, 109.475, 109.475, 109.469, 109.469]"
537,"[111.155, 111.051, 111.051, 109.737, 106.942, 106.942]"
539,"[142.949, 142.94, 95.797, 95.797, 95.797, 95.791]"
551,"[118.633, 111.734, 110.781, 107.014, 104.957, 102.597]"
552,"[119.65, 112.024, 109.658, 108.029, 104.691, 100.941]"
555,"[111.254, 109.712, 108.966, 108.966, 108.966, 108.966]"
558,"[115.1, 114.469, 114.469, 107.8, 101.759, 101.759]"
559,"[114.929, 114.929, 113.91, 104.395, 104.395, 102.921]"
560,"[115.094, 114.526, 114.526, 104.099, 103.586, 103.586]"
561,"[115.094, 114.526, 114.526, 104.099, 103.586, 103.586]"
562,"[115.372, 115.372, 115.258, 103.957, 102.556, 102.556]"
563,"[115.372, 115.372, 115.258, 103.957, 102.556, 102.556]"
564,"[115.258, 115.258, 114.551, 105.325, 105.325, 99.468]"
565,"[115.258, 115.258, 114.551, 105.325, 105.325, 99.468]"
568,"[113.528, 111.759, 111.759, 109.05, 109.05, 100.935]"
569,"[123.601, 123.601, 120.185, 97.042, 97.042, 87.553]"
570,"[128.025, 120.997, 120.997, 93.095, 93.095, 91.444]"
571,"[128.653, 127.647, 110.225, 95.589, 95.446, 88.418]"
572,"[113.422, 113.422, 112.123, 107.416, 107.416, 102.369]"
574,"[113.916, 113.098, 113.098, 107.248, 107.248, 101.274]"
576,"[114.117, 112.501, 112.501, 107.981, 107.981, 100.824]"
577,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
578,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
579,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
580,"[111.155, 111.155, 111.155, 107.728, 107.728, 107.728]"
581,"[111.162, 111.162, 111.162, 107.728, 107.722, 107.722]"
582,"[111.02, 111.02, 111.02, 107.873, 107.873, 107.873]"
583,"[111.02, 111.02, 111.02, 107.873, 107.873, 107.873]"
584,"[111.033, 111.033, 111.033, 107.86, 107.86, 107.86]"
585,"[111.039, 111.039, 111.039, 107.854, 107.854, 107.854]"
586,"[166.048, 94.755, 94.755, 94.755, 94.755, 93.882]"
587,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
588,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
589,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
591,"[148.616, 122.731, 107.578, 94.669, 86.526, 85.693]"
593,"[133.948, 107.2, 107.2, 107.194, 107.194, 81.79]"
595,"[110.347, 110.347, 110.347, 110.347, 109.652, 105.742]"
596,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
597,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
598,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
599,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
600,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
601,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
602,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
603,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
604,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
605,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
606,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
607,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
608,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
614,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
615,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
616,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
617,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
618,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
619,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
620,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
621,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
622,"[126.299, 126.015, 126.015, 100.545, 81.593, 81.593]"
623,"[122.684, 122.684, 121.138, 97.591, 97.591, 87.427]"
624,"[126.748, 121.561, 121.561, 93.015, 93.015, 92.034]"
625,"[129.094, 127.539, 110.757, 95.198, 95.049, 88.281]"
626,"[113.735, 112.638, 112.638, 106.978, 106.978, 103.126]"
627,"[112.575, 112.16, 112.16, 107.788, 107.788, 103.863]"
628,"[114.444, 110.916, 110.91, 107.945, 107.945, 104.111]"
629,"[114.683, 112.358, 112.358, 106.882, 106.882, 102.809]"
630,"[116.551, 110.977, 110.977, 107.566, 107.56, 102.163]"
631,"[180.0, 180.0, 90.0, 90.0, 90.0, 90.0]"
632,"[180.0, 180.0, 90.0, 90.0, 90.0, 90.0]"
633,"[122.093, 122.087, 120.984, 98.355, 98.355, 87.61]"
634,"[127.51, 121.709, 121.709, 92.568, 92.568, 91.415]"
635,"[129.346, 127.006, 111.512, 95.118, 94.244, 89.284]"
636,"[113.16, 112.675, 112.669, 106.314, 106.308, 105.094]"
637,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
638,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
639,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
640,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
641,"[122.684, 107.638, 107.638, 106.004, 106.004, 105.736]"
642,"[117.226, 113.366, 113.21, 109.652, 107.818, 94.738]"
643,"[121.205, 116.411, 112.309, 101.04, 100.614, 100.317]"
644,"[121.205, 116.411, 112.309, 101.04, 100.614, 100.317]"
645,"[122.684, 107.638, 107.638, 106.004, 106.004, 105.736]"
646,"[113.36, 110.892, 110.892, 109.354, 106.045, 106.045]"
647,"[113.254, 112.204, 112.204, 107.014, 107.014, 104.478]"
651,"[111.765, 111.759, 111.365, 111.365, 110.953, 99.149]"
652,"[113.553, 113.553, 113.029, 106.129, 106.129, 103.633]"
653,"[125.556, 112.006, 111.938, 103.609, 102.099, 96.979]"
654,"[113.316, 113.303, 108.657, 108.421, 107.338, 105.635]"
655,"[118.614, 115.512, 110.959, 108.717, 100.807, 100.306]"
656,"[116.059, 113.797, 112.749, 110.487, 109.518, 92.069]"
657,"[122.493, 113.534, 108.415, 108.276, 105.308, 99.056]"
658,"[123.642, 111.192, 109.731, 108.5, 105.153, 97.955]"
659,"[113.278, 113.278, 113.278, 105.414, 105.409, 105.409]"
669,"[115.83, 112.656, 110.212, 108.023, 107.933, 101.824]"
670,"[116.936, 111.26, 109.014, 107.458, 106.147, 106.063]"
674,"[117.911, 117.911, 117.898, 99.881, 99.863, 99.863]"
678,"[117.911, 117.911, 117.905, 99.881, 99.863, 99.863]"
682,"[117.905, 117.905, 117.898, 99.887, 99.869, 99.869]"
686,"[117.905, 117.905, 117.898, 99.881, 99.869, 99.869]"
690,"[117.911, 117.911, 117.905, 99.881, 99.869, 99.869]"
694,"[117.898, 117.898, 117.892, 99.892, 99.875, 99.875]"
698,"[117.885, 117.885, 117.879, 99.916, 99.898, 99.898]"
702,"[117.898, 117.892, 117.885, 99.898, 99.881, 99.881]"
711,"[112.489, 111.168, 110.898, 108.863, 106.978, 106.147]"
717,"[115.29, 115.29, 115.29, 103.079, 103.079, 103.079]"
718,"[115.29, 115.29, 115.29, 103.079, 103.079, 103.079]"
719,"[141.27, 127.496, 118.895, 88.722, 86.704, 86.227]"
720,"[147.833, 118.145, 110.353, 95.037, 90.493, 83.044]"
721,"[129.161, 115.983, 110.334, 105.034, 95.29, 93.612]"
722,"[116.834, 113.341, 111.654, 111.211, 108.851, 94.301]"
