,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
123,106915.cif,F1-:16.000 Li1+:4.000 Nd3+:0.060 Y3+:3.940,Li1,4.0,1.0,2,1,0.0,"[124.988, 124.981, 102.316, 102.316, 102.316, 102.316]"
131,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,P1,4.0,5.0,3,5,0.13,"[116.398, 112.241, 110.243, 109.105, 105.783, 102.298]"
132,107724.cif,Ba2+:8.000 Li1+:12.000 O2-:56.000 P5+:16.000,P2,4.0,5.0,3,5,0.13,"[116.321, 114.854, 107.927, 107.452, 106.254, 103.244]"
139,110018.cif,C2+:4.000 F1-:12.000 Li1+:4.000 O2-:12.000 S6+:4.000,Li1,4.0,1.0,2,1,0.023,"[118.692, 116.93, 113.966, 109.566, 106.362, 86.732]"
139,100338.cif,Al3+:4.020 Na1+:3.944 O2-:32.000 Si4+:11.980,Al2,4.0,3.0,3,3,0.026,"[112.501, 111.315, 109.494, 108.228, 108.029, 107.296]"
144,1125.cif,B3+:56.000 Cl1-:8.000 Li1+:32.000 O2-:96.000,B1,4.0,3.0,2,3,0.0,"[111.716, 111.709, 108.361, 108.361, 108.361, 108.361]"
146,1126.cif,B3+:56.000 Cl1-:8.000 Li1+:32.104 O2-:96.000,B1,4.0,3.0,2,3,0.0,"[111.913, 111.907, 108.264, 108.264, 108.264, 108.264]"
148,1127.cif,B3+:56.000 Cl1-:8.000 Li1+:32.600 O2-:96.000,B1,4.0,3.0,2,3,0.0,"[111.783, 111.777, 108.331, 108.331, 108.331, 108.331]"
151,130018.cif,B3+:32.000 Li1+:16.000 O2-:56.000,B2,4.0,3.0,2,3,0.048,"[114.828, 111.783, 111.285, 109.166, 107.158, 102.228]"
151,100338.cif,Al3+:4.020 Na1+:3.944 O2-:32.000 Si4+:11.980,Si3,4.0,4.0,3,4,0.033,"[112.061, 111.598, 111.155, 110.334, 107.05, 104.288]"
154,100382.cif,Al3+:15.202 Na1+:15.564 O2-:96.000 Si4+:32.798,Al2,4.0,3.0,3,3,0.025,"[114.557, 114.017, 109.469, 109.044, 105.456, 103.845]"
156,1321.cif,Cl7+:2.000 H1+:12.000 Li1+:2.000 O2-:14.000,Cl1,4.0,7.0,3,7,0.02,"[109.81, 109.81, 109.798, 109.16, 109.123, 109.123]"
156,100382.cif,Al3+:15.202 Na1+:15.564 O2-:96.000 Si4+:32.798,Al4,4.0,3.0,3,3,0.056,"[117.342, 113.472, 112.42, 107.254, 106.034, 99.858]"
162,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,Li1,4.0,1.0,2,1,0.029,"[119.531, 119.531, 110.622, 110.622, 108.699, 87.071]"
165,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,S1,4.0,6.0,3,6,0.272,"[117.477, 113.478, 113.478, 104.543, 102.815, 102.815]"
172,14.cif,Li1+:4.000 Nd3+:4.000 O2-:48.000 P5+:16.000,P1,4.0,5.0,3,5,0.162,"[118.372, 111.814, 110.708, 106.218, 105.1, 103.733]"
172,100496.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al1,4.0,3.0,3,3,0.01,"[114.803, 111.901, 110.769, 109.542, 104.975, 104.702]"
173,14.cif,Li1+:4.000 Nd3+:4.000 O2-:48.000 P5+:16.000,P2,4.0,5.0,3,5,0.124,"[120.192, 111.975, 110.048, 107.452, 103.987, 101.274]"
173,100496.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al2,4.0,3.0,3,3,0.021,"[112.142, 111.777, 111.002, 109.384, 106.457, 105.968]"
