,Cif,Name,Site,CN,OS,Period,Group,Angles
0,10062.cif,Li1+:24.000 O2-:18.000 Pb4+:3.000,Li1,4.0,1,2,1,"[122.425, 111.131, 110.2, 106.296, 103.993, 101.046]"
4,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,Li1,4.0,1,2,1,"[115.442, 113.241, 107.59, 107.188, 106.966, 105.986]"
5,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,Li2,4.0,1,2,1,"[124.785, 107.452, 106.087, 106.087, 105.736, 105.736]"
6,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,O1,4.0,-2,2,6,"[118.783, 117.788, 116.821, 103.25, 99.706, 96.806]"
7,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,O2,4.0,-2,2,6,"[119.96, 119.96, 115.957, 101.584, 97.458, 97.458]"
8,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,O3,4.0,-2,2,6,"[115.957, 115.957, 114.111, 107.848, 100.405, 100.405]"
9,10257.cif,Li1+:6.000 O2-:8.000 P5+:2.000,P1,4.0,5,3,5,"[110.604, 109.944, 109.944, 109.299, 108.506, 108.506]"
10,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,Li1,4.0,1,2,1,"[115.849, 109.457, 109.451, 107.578, 107.122, 107.122]"
14,10479.cif,Li1+:32.000 O2-:64.000 W6+:16.000,O3,4.0,-2,2,6,"[120.245, 115.151, 114.708, 106.153, 104.129, 92.51]"
17,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,Li1,4.0,1,2,1,"[119.531, 119.531, 110.622, 110.622, 108.699, 87.071]"
20,1384.cif,F1-:4.000 Li1+:4.000 O2-:12.000 S6+:4.000,S1,4.0,6,3,6,"[117.477, 113.478, 113.478, 104.543, 102.815, 102.815]"
24,14045.cif,I5+:12.000 Li1+:8.000 O2-:36.000 Rb1+:4.000,Li1,4.0,1,2,1,"[118.79, 116.244, 110.99, 105.575, 104.91, 96.979]"
25,14045.cif,I5+:12.000 Li1+:8.000 O2-:36.000 Rb1+:4.000,Li2,4.0,1,2,1,"[121.413, 113.204, 111.58, 109.063, 106.028, 92.705]"
36,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al1,4.0,3,3,3,"[113.035, 111.82, 110.506, 110.182, 110.127, 100.492]"
37,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al2,4.0,3,3,3,"[115.233, 112.241, 112.241, 111.242, 103.079, 103.079]"
38,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Li1,4.0,1,2,1,"[140.642, 134.886, 119.144, 114.822, 76.803, 73.913]"
42,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Si1,4.0,4,3,4,"[113.035, 111.82, 110.506, 110.182, 110.127, 100.492]"
43,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Si2,4.0,4,3,4,"[115.233, 112.241, 112.241, 111.242, 103.079, 103.079]"
44,14360.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Be1,4.0,2,2,2,"[111.512, 110.683, 109.968, 109.396, 107.758, 107.392]"
49,14360.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Li1,4.0,1,2,1,"[116.545, 110.426, 109.603, 109.275, 106.427, 104.56]"
50,14364.cif,Li1+:6.000 Na1+:6.000 O2-:24.000 S6+:6.000,Li1,4.0,1,2,1,"[129.427, 119.98, 111.568, 103.999, 99.091, 94.462]"
52,14364.cif,Li1+:6.000 Na1+:6.000 O2-:24.000 S6+:6.000,O1,4.0,-2,2,6,"[119.974, 119.974, 119.974, 97.215, 97.21, 97.21]"
53,14364.cif,Li1+:6.000 Na1+:6.000 O2-:24.000 S6+:6.000,O2,4.0,-2,2,6,"[124.527, 124.527, 124.52, 91.049, 91.037, 91.037]"
54,14364.cif,Li1+:6.000 Na1+:6.000 O2-:24.000 S6+:6.000,O3,4.0,-2,2,6,"[121.729, 121.729, 121.722, 94.893, 94.882, 94.882]"
58,14364.cif,Li1+:6.000 Na1+:6.000 O2-:24.000 S6+:6.000,S1,4.0,6,3,6,"[110.996, 110.996, 110.996, 107.903, 107.903, 107.903]"
59,14364.cif,Li1+:6.000 Na1+:6.000 O2-:24.000 S6+:6.000,S2,4.0,6,3,6,"[109.761, 109.755, 109.755, 109.196, 109.19, 109.16]"
60,14364.cif,Li1+:6.000 Na1+:6.000 O2-:24.000 S6+:6.000,S3,4.0,6,3,6,"[111.235, 111.229, 111.223, 107.674, 107.662, 107.638]"
64,15111.cif,Eu2+:8.000 Eu3+:4.000 Li1+:4.000 O2-:16.000,Li1,4.0,1,2,1,"[115.677, 112.687, 112.687, 108.584, 102.991, 102.991]"
69,16229.cif,Al3+:2.000 Li1+:10.000 O2-:8.000,Al1,4.0,3,3,3,"[120.099, 108.325, 106.996, 106.996, 106.996, 106.996]"
70,16229.cif,Al3+:2.000 Li1+:10.000 O2-:8.000,Li1,4.0,1,2,1,"[129.087, 116.379, 108.711, 107.662, 102.785, 82.137]"
71,16229.cif,Al3+:2.000 Li1+:10.000 O2-:8.000,Li2,4.0,1,2,1,"[130.113, 112.47, 103.556, 103.556, 103.556, 103.556]"
74,17056.cif,F1-:96.000 Fe3+:16.000 Li1+:24.000 Na1+:24.000,F1,4.0,-1,2,7,"[132.75, 118.262, 106.272, 100.416, 100.358, 93.118]"
79,1726.cif,F1-:28.000 Li1+:12.000 Th4+:4.000,Li1,4.0,1,2,1,"[110.102, 110.102, 109.16, 109.16, 109.16, 109.16]"
85,18019.cif,F1-:16.000 Li1+:8.000 Rb1+:8.000,Li1,4.0,1,2,1,"[127.243, 115.214, 112.439, 105.599, 99.637, 93.073]"
91,18020.cif,Cs1+:8.000 F1-:16.000 Li1+:8.000,Li1,4.0,1,2,1,"[117.561, 115.804, 109.457, 107.957, 107.74, 97.458]"
92,18152.cif,Ga3+:4.000 Li1+:4.000 O2-:8.000,Ga1,4.0,3,4,3,"[111.66, 110.971, 109.67, 109.196, 108.095, 107.104]"
93,18152.cif,Ga3+:4.000 Li1+:4.000 O2-:8.000,Li1,4.0,1,2,1,"[116.795, 109.579, 109.056, 107.644, 107.332, 105.867]"
94,18152.cif,Ga3+:4.000 Li1+:4.000 O2-:8.000,O1,4.0,-2,2,6,"[116.053, 111.858, 109.597, 109.087, 107.548, 101.671]"
95,18152.cif,Ga3+:4.000 Li1+:4.000 O2-:8.000,O2,4.0,-2,2,6,"[114.167, 113.979, 110.665, 106.756, 105.73, 104.803]"
96,1897.cif,Li1+:4.000 O2-:14.000 W6+:4.000,Li1,4.0,1,2,1,"[143.197, 108.27, 105.325, 101.56, 92.918, 91.215]"
97,1897.cif,Li1+:4.000 O2-:14.000 W6+:4.000,Li2,4.0,1,2,1,"[128.47, 118.151, 107.272, 106.792, 96.782, 92.011]"
107,19002.cif,Li1+:6.000 O2-:8.000 V5+:2.000,Li1,4.0,1,2,1,"[115.233, 113.785, 108.978, 106.589, 106.212, 105.266]"
108,19002.cif,Li1+:6.000 O2-:8.000 V5+:2.000,Li2,4.0,1,2,1,"[122.922, 108.156, 108.156, 105.92, 105.92, 104.259]"
109,19002.cif,Li1+:6.000 O2-:8.000 V5+:2.000,O1,4.0,-2,2,6,"[116.956, 116.257, 113.76, 106.344, 101.718, 99.509]"
110,19002.cif,Li1+:6.000 O2-:8.000 V5+:2.000,O2,4.0,-2,2,6,"[117.613, 117.613, 113.397, 105.414, 100.026, 100.02]"
111,19002.cif,Li1+:6.000 O2-:8.000 V5+:2.000,O3,4.0,-2,2,6,"[111.057, 111.057, 110.892, 109.469, 107.098, 107.098]"
112,19002.cif,Li1+:6.000 O2-:8.000 V5+:2.000,V1,4.0,5,4,5,"[110.898, 110.824, 110.824, 108.192, 107.987, 107.987]"
114,19023.cif,Ca2+:2.000 Li1+:4.000 O2-:8.000 Si4+:2.000,Li1,4.0,1,2,1,"[138.245, 138.245, 97.296, 97.296, 97.296, 97.296]"
116,19023.cif,Ca2+:2.000 Li1+:4.000 O2-:8.000 Si4+:2.000,Si1,4.0,4,3,4,"[111.358, 111.358, 108.536, 108.536, 108.536, 108.536]"
118,19024.cif,Ca2+:2.000 Ge4+:2.000 Li1+:4.000 O2-:8.000,Ge1,4.0,4,4,4,"[111.635, 111.635, 108.403, 108.403, 108.403, 108.403]"
119,19024.cif,Ca2+:2.000 Ge4+:2.000 Li1+:4.000 O2-:8.000,Li1,4.0,1,2,1,"[140.498, 140.498, 96.557, 96.557, 96.557, 96.557]"
121,1972.cif,Cr6+:18.000 Li1+:36.000 O2-:72.000,Cr1,4.0,6,4,6,"[113.385, 110.646, 109.743, 109.075, 108.463, 105.195]"
122,1972.cif,Cr6+:18.000 Li1+:36.000 O2-:72.000,Li1,4.0,1,2,1,"[118.614, 110.812, 108.645, 107.578, 106.936, 103.091]"
123,1972.cif,Cr6+:18.000 Li1+:36.000 O2-:72.000,Li2,4.0,1,2,1,"[116.808, 110.99, 110.121, 107.644, 105.706, 105.486]"
131,20191.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,Li1,4.0,1,2,1,"[111.691, 111.691, 109.475, 109.475, 107.74, 106.744]"
132,20191.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,O1,4.0,-2,2,6,"[132.75, 111.722, 111.722, 100.924, 100.924, 90.321]"
133,20191.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,O2,4.0,-2,2,6,"[126.278, 115.537, 115.537, 100.865, 100.865, 91.289]"
134,20191.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,O3,4.0,-2,2,6,"[116.481, 116.481, 112.83, 107.74, 100.521, 100.521]"
135,20208.cif,Li1+:12.000 O2-:16.000 P5+:4.000,Li1,4.0,1,2,1,"[117.756, 112.197, 111.697, 110.377, 107.062, 96.356]"
136,20208.cif,Li1+:12.000 O2-:16.000 P5+:4.000,Li2,4.0,1,2,1,"[129.279, 112.749, 112.743, 108.361, 93.044, 93.044]"
137,20208.cif,Li1+:12.000 O2-:16.000 P5+:4.000,O1,4.0,-2,2,6,"[122.154, 119.085, 116.923, 106.183, 101.707, 84.094]"
138,20208.cif,Li1+:12.000 O2-:16.000 P5+:4.000,O2,4.0,-2,2,6,"[125.768, 125.768, 117.078, 104.59, 83.927, 83.927]"
139,20208.cif,Li1+:12.000 O2-:16.000 P5+:4.000,O3,4.0,-2,2,6,"[118.164, 118.164, 115.664, 104.111, 98.673, 98.673]"
140,20208.cif,Li1+:12.000 O2-:16.000 P5+:4.000,P1,4.0,5,3,5,"[109.779, 109.652, 109.646, 109.275, 109.275, 109.196]"
144,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,Li1,4.0,1,2,1,"[120.0, 114.702, 113.904, 107.77, 100.154, 98.135]"
147,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,O1,4.0,-2,2,6,"[135.398, 126.906, 116.193, 102.07, 90.739, 89.645]"
148,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,O2,4.0,-2,2,6,"[139.209, 117.788, 108.306, 102.052, 94.962, 94.353]"
149,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,O3,4.0,-2,2,6,"[123.842, 123.787, 101.824, 101.654, 101.484, 99.05]"
150,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,O4,4.0,-2,2,6,"[135.137, 133.741, 104.028, 103.651, 96.258, 89.295]"
152,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,O6,4.0,-2,2,6,"[179.19, 106.966, 91.564, 90.401, 89.324, 87.805]"
153,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,O7,4.0,-2,2,6,"[126.15, 122.195, 107.572, 106.523, 98.807, 97.805]"
154,20217.cif,B3+:12.000 Li1+:12.000 O2-:36.000 Pr3+:8.000,O8,4.0,-2,2,6,"[125.521, 122.303, 110.06, 102.897, 101.303, 96.534]"
158,20434.cif,Al3+:2.000 B3+:4.000 Li1+:6.000 O2-:12.000,Al1,4.0,3,3,3,"[122.364, 112.83, 110.64, 109.993, 100.411, 97.608]"
161,20434.cif,Al3+:2.000 B3+:4.000 Li1+:6.000 O2-:12.000,Li1,4.0,1,2,1,"[118.601, 117.905, 106.535, 104.886, 104.785, 102.005]"
162,20434.cif,Al3+:2.000 B3+:4.000 Li1+:6.000 O2-:12.000,Li2,4.0,1,2,1,"[118.973, 114.816, 109.81, 107.776, 103.25, 101.064]"
167,20434.cif,Al3+:2.000 B3+:4.000 Li1+:6.000 O2-:12.000,O4,4.0,-2,2,6,"[152.76, 127.423, 117.071, 81.697, 77.455, 73.202]"
170,20641.cif,Li1+:4.000 Mo6+:4.000 O2-:16.000 Rb1+:4.000,Li1,4.0,1,2,1,"[116.443, 111.993, 110.151, 107.35, 106.123, 104.519]"
171,20641.cif,Li1+:4.000 Mo6+:4.000 O2-:16.000 Rb1+:4.000,Mo1,4.0,6,5,6,"[111.205, 110.947, 109.779, 109.688, 108.966, 106.129]"
178,20805.cif,Cs1+:4.000 Li1+:4.000 Mo6+:4.000 O2-:16.000,Li1,4.0,1,2,1,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
179,20805.cif,Cs1+:4.000 Li1+:4.000 Mo6+:4.000 O2-:16.000,Mo1,4.0,6,5,6,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
185,20835.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,Li1,4.0,1,2,1,"[113.584, 113.584, 108.397, 108.397, 108.343, 104.265]"
186,20835.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,O1,4.0,-2,2,6,"[133.583, 111.783, 111.783, 99.834, 99.834, 91.771]"
187,20835.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,O2,4.0,-2,2,6,"[123.525, 116.885, 116.885, 100.912, 100.912, 92.08]"
188,20835.cif,B3+:3.000 Cd2+:3.000 Li1+:3.000 O2-:9.000,O3,4.0,-2,2,6,"[114.519, 114.519, 113.553, 108.343, 102.275, 102.275]"
190,20851.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,Li1,4.0,1,2,1,"[112.923, 112.905, 112.899, 105.771, 105.765, 105.765]"
193,20851.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,S1,4.0,6,3,6,"[110.017, 109.999, 109.98, 108.941, 108.941, 108.935]"
198,2121.cif,B3+:12.000 Ho3+:4.000 Li1+:24.000 O2-:36.000,Li1,4.0,1,2,1,"[139.943, 111.285, 106.29, 103.103, 97.025, 92.591]"
203,2121.cif,B3+:12.000 Ho3+:4.000 Li1+:24.000 O2-:36.000,Li6,4.0,1,2,1,"[128.17, 122.371, 107.86, 107.32, 103.244, 67.189]"
207,2121.cif,B3+:12.000 Ho3+:4.000 Li1+:24.000 O2-:36.000,O4,4.0,-2,2,6,"[135.032, 124.125, 112.439, 96.719, 95.584, 87.971]"
213,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li1,4.0,1,2,1,"[115.404, 115.284, 111.401, 110.781, 104.874, 98.557]"
214,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li2,4.0,1,2,1,"[120.617, 114.356, 111.088, 107.452, 102.662, 99.311]"
215,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li3,4.0,1,2,1,"[117.181, 114.142, 110.689, 109.348, 103.845, 101.455]"
216,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li4,4.0,1,2,1,"[118.346, 113.954, 111.34, 108.723, 102.116, 101.367]"
217,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li5,4.0,1,2,1,"[119.808, 118.685, 118.685, 102.48, 102.48, 81.286]"
219,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li7,4.0,1,2,1,"[120.631, 120.631, 111.568, 106.768, 106.768, 84.157]"
220,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li8,4.0,1,2,1,"[117.219, 115.094, 115.094, 111.783, 111.783, 80.049]"
221,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li9,4.0,1,2,1,"[116.737, 114.803, 114.004, 114.004, 97.614, 97.614]"
222,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li10,4.0,1,2,1,"[120.172, 115.633, 111.285, 111.285, 98.888, 98.888]"
223,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li11,4.0,1,2,1,"[123.038, 110.702, 109.038, 109.032, 102.134, 102.134]"
224,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li12,4.0,1,2,1,"[125.472, 119.452, 108.76, 108.421, 104.874, 83.604]"
225,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li13,4.0,1,2,1,"[118.908, 115.868, 114.268, 111.691, 106.78, 84.583]"
226,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,Li14,4.0,1,2,1,"[124.028, 111.876, 111.642, 111.18, 110.861, 84.244]"
240,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,O9,4.0,-2,2,6,"[117.31, 117.303, 114.06, 105.266, 100.125, 100.125]"
242,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,O11,4.0,-2,2,6,"[130.496, 114.142, 114.142, 86.91, 86.91, 85.066]"
243,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,O12,4.0,-2,2,6,"[116.276, 116.276, 115.322, 115.322, 104.07, 89.943]"
244,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,O13,4.0,-2,2,6,"[121.151, 121.151, 118.672, 100.358, 94.761, 94.761]"
245,21418.cif,Li1+:56.000 O2-:56.000 Si4+:14.000,O14,4.0,-2,2,6,"[122.704, 122.704, 106.984, 106.888, 94.663, 94.663]"
249,21518.cif,Cs1+:32.000 Li1+:32.000 O2-:192.000 P5+:64.000,Li1,4.0,1,2,1,"[118.823, 113.71, 108.808, 108.59, 106.786, 99.294]"
250,21518.cif,Cs1+:32.000 Li1+:32.000 O2-:192.000 P5+:64.000,Li2,4.0,1,2,1,"[119.881, 111.901, 110.249, 109.244, 104.028, 100.253]"
254,21519.cif,Li1+:32.000 O2-:192.000 P5+:64.000 Rb1+:32.000,Li1,4.0,1,2,1,"[122.452, 110.249, 110.249, 106.254, 106.177, 100.05]"
255,21519.cif,Li1+:32.000 O2-:192.000 P5+:64.000 Rb1+:32.000,Li2,4.0,1,2,1,"[120.81, 111.438, 111.315, 109.7, 101.724, 100.842]"
261,22010.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al1,4.0,3,3,3,"[113.966, 113.966, 111.796, 111.796, 109.032, 95.912]"
262,22010.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al2,4.0,3,3,3,"[113.722, 110.396, 109.609, 109.609, 106.762, 106.762]"
263,22010.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li1,4.0,1,2,1,"[128.55, 128.55, 119.479, 119.479, 83.385, 83.385]"
264,22010.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li2,4.0,1,2,1,"[133.267, 133.267, 122.459, 122.452, 77.168, 77.168]"
265,22010.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li3,4.0,1,2,1,"[130.95, 129.102, 128.543, 128.543, 74.556, 74.55]"
270,22010.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si1,4.0,4,3,4,"[113.985, 113.979, 111.211, 111.205, 103.987, 102.815]"
271,22010.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si2,4.0,4,3,4,"[115.385, 115.322, 115.315, 111.377, 100.073, 100.073]"
272,22011.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al1,4.0,3,3,3,"[114.261, 114.255, 111.242, 111.235, 109.688, 95.653]"
273,22011.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al2,4.0,3,3,3,"[111.79, 111.137, 111.137, 109.494, 106.66, 106.66]"
274,22011.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li1,4.0,1,2,1,"[128.462, 128.455, 119.782, 119.782, 83.183, 83.183]"
275,22011.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li2,4.0,1,2,1,"[132.191, 132.183, 124.82, 124.813, 75.966, 75.966]"
276,22011.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li3,4.0,1,2,1,"[131.567, 129.502, 127.923, 127.923, 74.651, 74.651]"
281,22011.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si1,4.0,4,3,4,"[114.5, 114.494, 110.212, 110.206, 105.807, 101.894]"
282,22011.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si2,4.0,4,3,4,"[116.136, 116.136, 114.677, 110.812, 99.927, 99.922]"
283,22012.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al1,4.0,3,3,3,"[114.255, 114.255, 110.836, 110.836, 110.023, 96.119]"
284,22012.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al2,4.0,3,3,3,"[111.266, 110.916, 110.916, 109.202, 107.284, 107.278]"
285,22012.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li1,4.0,1,2,1,"[127.452, 127.452, 120.704, 120.704, 83.183, 83.183]"
286,22012.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li2,4.0,1,2,1,"[133.126, 133.126, 125.023, 125.023, 75.078, 75.072]"
287,22012.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li3,4.0,1,2,1,"[131.982, 129.837, 127.836, 127.828, 74.431, 74.431]"
292,22012.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si1,4.0,4,3,4,"[113.841, 113.835, 111.512, 111.512, 105.676, 100.708]"
293,22012.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si2,4.0,4,3,4,"[116.027, 116.027, 113.185, 110.665, 100.813, 100.807]"
294,22013.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al1,4.0,3,3,3,"[114.45, 114.444, 110.671, 110.671, 109.993, 96.108]"
295,22013.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al2,4.0,3,3,3,"[111.963, 111.956, 111.765, 107.11, 107.104, 106.894]"
296,22013.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li1,4.0,1,2,1,"[127.676, 127.676, 121.125, 121.125, 82.634, 82.634]"
297,22013.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li2,4.0,1,2,1,"[131.46, 131.453, 125.233, 125.233, 76.178, 76.172]"
298,22013.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li3,4.0,1,2,1,"[132.773, 130.723, 128.054, 128.046, 73.597, 73.597]"
303,22013.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si1,4.0,4,3,4,"[114.576, 114.57, 111.155, 111.155, 104.904, 100.819]"
304,22013.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si2,4.0,4,3,4,"[116.098, 116.091, 113.023, 109.317, 101.449, 101.449]"
305,22014.cif,Al3+:3.000 Li1+:3.000 O2-:12.000 Si4+:3.000,Al1,4.0,3,3,3,"[112.507, 112.501, 111.414, 111.408, 104.608, 104.608]"
306,22014.cif,Al3+:3.000 Li1+:3.000 O2-:12.000 Si4+:3.000,Li1,4.0,1,2,1,"[129.22, 129.213, 128.645, 128.645, 75.12, 75.12]"
308,22014.cif,Al3+:3.000 Li1+:3.000 O2-:12.000 Si4+:3.000,Si1,4.0,4,3,4,"[113.872, 113.866, 113.091, 113.085, 101.724, 101.724]"
309,22015.cif,Al3+:3.000 Li1+:3.000 O2-:12.000 Si4+:3.000,Al1,4.0,3,3,3,"[112.247, 112.241, 111.901, 111.901, 104.389, 104.383]"
310,22015.cif,Al3+:3.000 Li1+:3.000 O2-:12.000 Si4+:3.000,Li1,4.0,1,2,1,"[129.301, 129.301, 128.814, 128.814, 74.918, 74.918]"
312,22015.cif,Al3+:3.000 Li1+:3.000 O2-:12.000 Si4+:3.000,Si1,4.0,4,3,4,"[113.854, 113.854, 113.191, 113.185, 101.642, 101.642]"
315,22347.cif,H1+:4.000 Li1+:4.000 O2-:10.000 S6+:2.000,Li1,4.0,1,2,1,"[119.479, 112.65, 110.267, 106.433, 104.418, 101.806]"
316,22347.cif,H1+:4.000 Li1+:4.000 O2-:10.000 S6+:2.000,Li2,4.0,1,2,1,"[119.091, 118.21, 109.457, 105.962, 104.011, 97.545]"
322,22347.cif,H1+:4.000 Li1+:4.000 O2-:10.000 S6+:2.000,S1,4.0,6,3,6,"[112.278, 111.691, 111.395, 108.512, 107.452, 105.153]"
323,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Li1,4.0,1,2,1,"[118.509, 113.316, 110.628, 104.916, 104.833, 103.415]"
324,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Li2,4.0,1,2,1,"[115.76, 114.268, 110.341, 107.554, 104.531, 103.226]"
325,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Li3,4.0,1,2,1,"[118.757, 116.43, 113.885, 107.975, 104.495, 95.026]"
326,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Li4,4.0,1,2,1,"[123.711, 115.233, 110.984, 105.432, 104.596, 92.51]"
327,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Li5,4.0,1,2,1,"[121.011, 114.381, 110.683, 110.041, 105.593, 94.796]"
328,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Li6,4.0,1,2,1,"[123.793, 111.469, 111.297, 105.361, 104.359, 98.378]"
330,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Li8,4.0,1,2,1,"[131.437, 110.041, 109.518, 108.905, 97.84, 95.808]"
335,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O5,4.0,-2,2,6,"[124.326, 123.518, 114.305, 109.633, 84.802, 83.835]"
336,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O6,4.0,-2,2,6,"[126.57, 120.764, 119.354, 109.19, 84.347, 83.293]"
337,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O7,4.0,-2,2,6,"[117.465, 116.827, 114.828, 113.322, 98.969, 92.086]"
338,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O8,4.0,-2,2,6,"[125.1, 119.17, 107.891, 105.849, 96.621, 94.548]"
339,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O9,4.0,-2,2,6,"[128.119, 115.379, 114.538, 105.98, 102.492, 85.509]"
340,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O10,4.0,-2,2,6,"[131.125, 117.039, 111.143, 109.865, 98.094, 81.651]"
